/opt/miniconda3/envs/alon_env/lib/python3.9/site-packages/transformers/utils/generic.py:260: UserWarning: torch.utils._pytree._register_pytree_node is deprecated. Please use torch.utils._pytree.register_pytree_node instead.
  torch.utils._pytree._register_pytree_node(
##### CONTINUE TRAINING #####


## TEST RESULTS: ##
Test Loss: 0.22017294755622524		 Test MAE: 0.022717510163784028


Epoch 1727/2500: Training Loss: 0.17820694135582965		 Val Loss: 0.6544667534206224
             Training MAE: 0.053356800228357315		 Val MAE: 0.04132157564163208
             Algebraic dist: 7.634256114130435		 Val Algebraic dist: 18.099527110224184
             Algebraic sqr dist: 158.25442991394928	  Val Algebraic sqr dist: 632.8898607336956
             RE1 dist: 79.12721495697464		 Val RE1 dist: 316.4449303668478
             SED dist: 1.6918978483780571		 Val SED dist: 6.493515678074049


Epoch 1728/2500: Training Loss: 0.17609780076621234		 Val Loss: 0.6700609041296918
             Training MAE: 0.053465306758880615		 Val MAE: 0.038886524736881256
             Algebraic dist: 7.6911346877830615		 Val Algebraic dist: 17.952704388162363
             Algebraic sqr dist: 159.0042034646739	  Val Algebraic sqr dist: 665.0083644701087
             RE1 dist: 79.50210173233695		 Val RE1 dist: 332.50420346467394
             SED dist: 1.6714516238889832		 Val SED dist: 6.653470910113791


Epoch 1729/2500: Training Loss: 0.1670551300048828		 Val Loss: 0.6984150927999745
             Training MAE: 0.052738264203071594		 Val MAE: 0.041057854890823364
             Algebraic dist: 7.3517893915591035		 Val Algebraic dist: 18.493104354194973
             Algebraic sqr dist: 150.74753736413044	  Val Algebraic sqr dist: 723.5700577445652
             RE1 dist: 75.37376868206522		 Val RE1 dist: 361.7850288722826
             SED dist: 1.583619048629982		 Val SED dist: 6.935039354407269


Epoch 1730/2500: Training Loss: 0.16411585047625113		 Val Loss: 0.6964706752611243
             Training MAE: 0.0529332235455513		 Val MAE: 0.04029843956232071
             Algebraic dist: 7.302300936933877		 Val Algebraic dist: 18.22511225161345
             Algebraic sqr dist: 145.56142436594203	  Val Algebraic sqr dist: 671.5244565217391
             RE1 dist: 72.78071218297102		 Val RE1 dist: 335.76222826086956
             SED dist: 1.5525328041850657		 Val SED dist: 6.914935568104619


Epoch 1731/2500: Training Loss: 0.17060640583867612		 Val Loss: 0.6677711320960004
             Training MAE: 0.05243440344929695		 Val MAE: 0.04032595828175545
             Algebraic dist: 7.577266084975091		 Val Algebraic dist: 17.984827456266984
             Algebraic sqr dist: 154.0154834692029	  Val Algebraic sqr dist: 687.7688094429348
             RE1 dist: 77.00774173460145		 Val RE1 dist: 343.8844471807065
             SED dist: 1.6183796758237092		 Val SED dist: 6.627002881920856


Epoch 1732/2500: Training Loss: 0.16998340772545856		 Val Loss: 0.7217074684474779
             Training MAE: 0.0529029443860054		 Val MAE: 0.03995729610323906
             Algebraic dist: 7.443864463032156		 Val Algebraic dist: 18.844766368036684
             Algebraic sqr dist: 153.1086956521739	  Val Algebraic sqr dist: 705.2541185461956
             RE1 dist: 76.55435490262681		 Val RE1 dist: 352.6270592730978
             SED dist: 1.611115939375283		 Val SED dist: 7.168520056683084


Epoch 1733/2500: Training Loss: 0.16686055280160214		 Val Loss: 0.6998463506283967
             Training MAE: 0.05207798629999161		 Val MAE: 0.04131896793842316
             Algebraic dist: 7.383527230525362		 Val Algebraic dist: 18.725895093834918
             Algebraic sqr dist: 154.26541270380434	  Val Algebraic sqr dist: 661.8290166440217
             RE1 dist: 77.13271342844203		 Val RE1 dist: 330.9145083220109
             SED dist: 1.5827102661132812		 Val SED dist: 6.94617163616678


Epoch 1734/2500: Training Loss: 0.16649174344712409		 Val Loss: 0.6981946696405825
             Training MAE: 0.05269794166088104		 Val MAE: 0.03923056274652481
             Algebraic dist: 7.344056944916214		 Val Algebraic dist: 18.18210634977921
             Algebraic sqr dist: 146.16765738224638	  Val Algebraic sqr dist: 723.616847826087
             RE1 dist: 73.08382869112319		 Val RE1 dist: 361.8084663722826
             SED dist: 1.5756975256878396		 Val SED dist: 6.935619188391644


Epoch 1735/2500: Training Loss: 0.17326066113900448		 Val Loss: 0.698312178902004
             Training MAE: 0.05258096009492874		 Val MAE: 0.04164258763194084
             Algebraic dist: 7.646138509114583		 Val Algebraic dist: 18.596423605213996
             Algebraic sqr dist: 158.75052366394928	  Val Algebraic sqr dist: 676.9118546195652
             RE1 dist: 79.3752689085145		 Val RE1 dist: 338.4559273097826
             SED dist: 1.6462077265200408		 Val SED dist: 6.931157651154892


Epoch 1736/2500: Training Loss: 0.16503441852072012		 Val Loss: 0.6439030274100925
             Training MAE: 0.05223657563328743		 Val MAE: 0.04309217259287834
             Algebraic dist: 7.224260855412138		 Val Algebraic dist: 17.674991773522418
             Algebraic sqr dist: 143.62349977355072	  Val Algebraic sqr dist: 655.049167798913
             RE1 dist: 71.81175696331522		 Val RE1 dist: 327.52460512907606
             SED dist: 1.564536716627038		 Val SED dist: 6.384395433508831


Epoch 1737/2500: Training Loss: 0.16723994932312897		 Val Loss: 0.6871792751809825
             Training MAE: 0.05230570212006569		 Val MAE: 0.04189511388540268
             Algebraic dist: 7.331994098165761		 Val Algebraic dist: 17.926122250764266
             Algebraic sqr dist: 146.43411741394928	  Val Algebraic sqr dist: 703.5692510190217
             RE1 dist: 73.2170657835145		 Val RE1 dist: 351.7846255095109
             SED dist: 1.584563324416893		 Val SED dist: 6.820538064707881


Epoch 1738/2500: Training Loss: 0.16884859057440274		 Val Loss: 0.6856826699298361
             Training MAE: 0.052888739854097366		 Val MAE: 0.03925740346312523
             Algebraic dist: 7.359155627264493		 Val Algebraic dist: 17.692498248556387
             Algebraic sqr dist: 148.10286458333334	  Val Algebraic sqr dist: 691.9417034646739
             RE1 dist: 74.05143229166667		 Val RE1 dist: 345.97085173233694
             SED dist: 1.600324879521909		 Val SED dist: 6.810012153957201


Epoch 1739/2500: Training Loss: 0.16690451856972516		 Val Loss: 0.7823567597762399
             Training MAE: 0.05287225544452667		 Val MAE: 0.040987078100442886
             Algebraic dist: 7.379965519559557		 Val Algebraic dist: 19.03069537618886
             Algebraic sqr dist: 146.4945227581522	  Val Algebraic sqr dist: 699.6514945652174
             RE1 dist: 73.2472613790761		 Val RE1 dist: 349.8257472826087
             SED dist: 1.5821933469910552		 Val SED dist: 7.773795749830163


Epoch 1740/2500: Training Loss: 0.16790343022000961		 Val Loss: 0.6897785767264988
             Training MAE: 0.05327235534787178		 Val MAE: 0.040349721908569336
             Algebraic dist: 7.335190482761549		 Val Algebraic dist: 17.65206113068954
             Algebraic sqr dist: 154.55274852807972	  Val Algebraic sqr dist: 620.2015540081521
             RE1 dist: 77.27637426403986		 Val RE1 dist: 310.10077700407606
             SED dist: 1.5903901915619338		 Val SED dist: 6.849180138629416


Epoch 1741/2500: Training Loss: 0.1660944344340891		 Val Loss: 0.643644498742145
             Training MAE: 0.052690569311380386		 Val MAE: 0.039727382361888885
             Algebraic dist: 7.320129836814991		 Val Algebraic dist: 17.31008645762568
             Algebraic sqr dist: 148.22373188405797	  Val Algebraic sqr dist: 638.7389605978261
             RE1 dist: 74.11186594202898		 Val RE1 dist: 319.36948029891306
             SED dist: 1.573619234389153		 Val SED dist: 6.38869973887568


Epoch 1742/2500: Training Loss: 0.16378626616104788		 Val Loss: 0.6663089835125467
             Training MAE: 0.052620768547058105		 Val MAE: 0.04022125527262688
             Algebraic dist: 7.213155995244565		 Val Algebraic dist: 18.2067114788553
             Algebraic sqr dist: 144.10116621376812	  Val Algebraic sqr dist: 659.900730298913
             RE1 dist: 72.05058310688406		 Val RE1 dist: 329.9503651494565
             SED dist: 1.5502852287845335		 Val SED dist: 6.612300706946331


Epoch 1743/2500: Training Loss: 0.16874873119851816		 Val Loss: 0.6715180770210598
             Training MAE: 0.05264311656355858		 Val MAE: 0.040985461324453354
             Algebraic dist: 7.389485234799593		 Val Algebraic dist: 18.208602241847824
             Algebraic sqr dist: 147.15562726449275	  Val Algebraic sqr dist: 666.2612941576087
             RE1 dist: 73.57781363224638		 Val RE1 dist: 333.1306470788044
             SED dist: 1.6000526538793591		 Val SED dist: 6.663817695949389


Epoch 1744/2500: Training Loss: 0.16439741936282834		 Val Loss: 0.6786482023156207
             Training MAE: 0.05232354626059532		 Val MAE: 0.03969762474298477
             Algebraic dist: 7.18586133873981		 Val Algebraic dist: 18.32343458092731
             Algebraic sqr dist: 147.60791723278984	  Val Algebraic sqr dist: 686.6688603940217
             RE1 dist: 73.80395153985508		 Val RE1 dist: 343.3344301970109
             SED dist: 1.5574902520663496		 Val SED dist: 6.737827466881794


Epoch 1745/2500: Training Loss: 0.1664765261221623		 Val Loss: 0.6603996028070864
             Training MAE: 0.051888298243284225		 Val MAE: 0.037190426141023636
             Algebraic dist: 7.2772411401721016		 Val Algebraic dist: 17.48619676672894
             Algebraic sqr dist: 147.30199841485506	  Val Algebraic sqr dist: 630.1765030570652
             RE1 dist: 73.65099920742753		 Val RE1 dist: 315.0882515285326
             SED dist: 1.5796051025390625		 Val SED dist: 6.5614796514096465


Epoch 1746/2500: Training Loss: 0.1680961415387582		 Val Loss: 0.659043436465056
             Training MAE: 0.05254160985350609		 Val MAE: 0.04071217030286789
             Algebraic dist: 7.383468849071558		 Val Algebraic dist: 17.56224657141644
             Algebraic sqr dist: 146.1842872509058	  Val Algebraic sqr dist: 639.0912873641304
             RE1 dist: 73.0921436254529		 Val RE1 dist: 319.5456861413044
             SED dist: 1.5949920433155005		 Val SED dist: 6.540427829908288


Epoch 1747/2500: Training Loss: 0.1707823241966358		 Val Loss: 0.6498740652333135
             Training MAE: 0.052275415509939194		 Val MAE: 0.0432949922978878
             Algebraic dist: 7.351800006368886		 Val Algebraic dist: 17.470650050951086
             Algebraic sqr dist: 148.97729846014494	  Val Algebraic sqr dist: 642.9443783967391
             RE1 dist: 74.48864923007247		 Val RE1 dist: 321.47218919836956
             SED dist: 1.6211227195850317		 Val SED dist: 6.443460879118546


Epoch 1748/2500: Training Loss: 0.16584263677182404		 Val Loss: 0.6677550854890243
             Training MAE: 0.052659112960100174		 Val MAE: 0.04015837609767914
             Algebraic dist: 7.327053346495697		 Val Algebraic dist: 18.07884282651155
             Algebraic sqr dist: 146.37742017663044	  Val Algebraic sqr dist: 675.7701256793479
             RE1 dist: 73.18871008831522		 Val RE1 dist: 337.88506283967394
             SED dist: 1.5708639172540195		 Val SED dist: 6.627574754797894


Epoch 1749/2500: Training Loss: 0.170495489369268		 Val Loss: 0.8116249416185461
             Training MAE: 0.05237523838877678		 Val MAE: 0.04040432348847389
             Algebraic dist: 7.288764400758605		 Val Algebraic dist: 18.9189280634341
             Algebraic sqr dist: 150.5503708106884	  Val Algebraic sqr dist: 668.6210088315217
             RE1 dist: 75.2751995584239		 Val RE1 dist: 334.3105044157609
             SED dist: 1.6188998015030571		 Val SED dist: 8.06775764797045


Epoch 1750/2500: Training Loss: 0.18398522639620132		 Val Loss: 0.6576711405878481
             Training MAE: 0.05355279520153999		 Val MAE: 0.041780732572078705
             Algebraic dist: 7.962210392606432		 Val Algebraic dist: 17.89509118121603
             Algebraic sqr dist: 172.63592617753622	  Val Algebraic sqr dist: 662.2735648777174
             RE1 dist: 86.31796308876811		 Val RE1 dist: 331.1367612092391
             SED dist: 1.7510927725529326		 Val SED dist: 6.524611763332201


Epoch 1751/2500: Training Loss: 0.17423953180727753		 Val Loss: 0.6437129559724227
             Training MAE: 0.052640169858932495		 Val MAE: 0.0425349697470665
             Algebraic dist: 7.633462657099185		 Val Algebraic dist: 17.498921269955844
             Algebraic sqr dist: 153.24681555706522	  Val Algebraic sqr dist: 675.1776494565217
             RE1 dist: 76.62340777853261		 Val RE1 dist: 337.58878226902175
             SED dist: 1.6554444907368093		 Val SED dist: 6.3831654424252715


Epoch 1752/2500: Training Loss: 0.1665727366571841		 Val Loss: 0.6761352704918903
             Training MAE: 0.05276871100068092		 Val MAE: 0.0401056632399559
             Algebraic dist: 7.259691763615263		 Val Algebraic dist: 17.956294847571332
             Algebraic sqr dist: 145.12760416666666	  Val Algebraic sqr dist: 763.4995754076087
             RE1 dist: 72.56380208333333		 Val RE1 dist: 381.7498301630435
             SED dist: 1.5769574814948484		 Val SED dist: 6.711896150008492


Epoch 1753/2500: Training Loss: 0.1698428167813066		 Val Loss: 0.657068335491678
             Training MAE: 0.05194953829050064		 Val MAE: 0.039377231150865555
             Algebraic dist: 7.479170204936594		 Val Algebraic dist: 16.957400114639945
             Algebraic sqr dist: 149.69982733242753	  Val Algebraic sqr dist: 628.6494140625
             RE1 dist: 74.84991366621377		 Val RE1 dist: 314.32472826086956
             SED dist: 1.6132749474566916		 Val SED dist: 6.524180536684782


Epoch 1754/2500: Training Loss: 0.16925744042880292		 Val Loss: 0.6815525967141857
             Training MAE: 0.05320319905877113		 Val MAE: 0.03890051320195198
             Algebraic dist: 7.3863658075747285		 Val Algebraic dist: 18.383020815641984
             Algebraic sqr dist: 147.81816123188406	  Val Algebraic sqr dist: 665.0459408967391
             RE1 dist: 73.90908061594203		 Val RE1 dist: 332.52297044836956
             SED dist: 1.602891673212466		 Val SED dist: 6.769427092179008


Epoch 1755/2500: Training Loss: 0.16506765890812528		 Val Loss: 0.6892788928488026
             Training MAE: 0.052902739495038986		 Val MAE: 0.03875570371747017
             Algebraic dist: 7.314540697180706		 Val Algebraic dist: 18.009134043817934
             Algebraic sqr dist: 147.5233101222826	  Val Algebraic sqr dist: 657.6998980978261
             RE1 dist: 73.76166213768116		 Val RE1 dist: 328.8499915081522
             SED dist: 1.5619381890780684		 Val SED dist: 6.845847751783288


Epoch 1756/2500: Training Loss: 0.1643271653548531		 Val Loss: 0.6824171646781589
             Training MAE: 0.052653081715106964		 Val MAE: 0.03924000635743141
             Algebraic dist: 7.26410840905231		 Val Algebraic dist: 18.00228616465693
             Algebraic sqr dist: 144.06533061594203	  Val Algebraic sqr dist: 646.0024626358696
             RE1 dist: 72.03266530797102		 Val RE1 dist: 323.0012313179348
             SED dist: 1.5551673778589221		 Val SED dist: 6.777272763459579


Epoch 1757/2500: Training Loss: 0.1682143695112588		 Val Loss: 0.7164407813030741
             Training MAE: 0.05234586447477341		 Val MAE: 0.04138448089361191
             Algebraic dist: 7.376605047695879		 Val Algebraic dist: 17.923595926036004
             Algebraic sqr dist: 148.96314538043478	  Val Algebraic sqr dist: 614.2127207880435
             RE1 dist: 74.48157269021739		 Val RE1 dist: 307.10636039402175
             SED dist: 1.59582287332286		 Val SED dist: 7.113390715225883


Epoch 1758/2500: Training Loss: 0.16867048844047214		 Val Loss: 0.7266901265019956
             Training MAE: 0.052035242319107056		 Val MAE: 0.03909463807940483
             Algebraic dist: 7.344775655995244		 Val Algebraic dist: 17.97867617399796
             Algebraic sqr dist: 152.26711107336956	  Val Algebraic sqr dist: 653.2188773777174
             RE1 dist: 76.13355553668478		 Val RE1 dist: 326.6094811480978
             SED dist: 1.6012982354647871		 Val SED dist: 7.220673270847486


Epoch 1759/2500: Training Loss: 0.16509427886078323		 Val Loss: 0.716433981190557
             Training MAE: 0.05281900614500046		 Val MAE: 0.04038963466882706
             Algebraic dist: 7.246076943217844		 Val Algebraic dist: 18.228788956351902
             Algebraic sqr dist: 145.22901098278984	  Val Algebraic sqr dist: 755.8205672554348
             RE1 dist: 72.61450549139492		 Val RE1 dist: 377.9102836277174
             SED dist: 1.5627212524414062		 Val SED dist: 7.1150340204653535


Epoch 1760/2500: Training Loss: 0.17895025446795035		 Val Loss: 0.7939347806184188
             Training MAE: 0.0534602515399456		 Val MAE: 0.04086771234869957
             Algebraic dist: 7.560205431951993		 Val Algebraic dist: 18.98853069802989
             Algebraic sqr dist: 154.18141417572463	  Val Algebraic sqr dist: 775.2918648097826
             RE1 dist: 77.09071416440217		 Val RE1 dist: 387.6459324048913
             SED dist: 1.7006786180579143		 Val SED dist: 7.88793016516644


Epoch 1761/2500: Training Loss: 0.1684660704239555		 Val Loss: 0.6498144813205885
             Training MAE: 0.05287082865834236		 Val MAE: 0.039689648896455765
             Algebraic dist: 7.401140738224638		 Val Algebraic dist: 17.52776568868886
             Algebraic sqr dist: 150.54429913949275	  Val Algebraic sqr dist: 641.3210343070652
             RE1 dist: 75.27214956974638		 Val RE1 dist: 320.6605171535326
             SED dist: 1.595476344011832		 Val SED dist: 6.449511984120244


Epoch 1762/2500: Training Loss: 0.17009295587954315		 Val Loss: 0.6589355054108993
             Training MAE: 0.052875008434057236		 Val MAE: 0.03951835632324219
             Algebraic dist: 7.324973286062047		 Val Algebraic dist: 18.310932988705844
             Algebraic sqr dist: 148.4403164628623	  Val Algebraic sqr dist: 629.5105298913044
             RE1 dist: 74.22017238451087		 Val RE1 dist: 314.7552649456522
             SED dist: 1.6128660561381907		 Val SED dist: 6.5414601201596465


Epoch 1763/2500: Training Loss: 0.1643377801646357		 Val Loss: 0.6735773086547852
             Training MAE: 0.052362777292728424		 Val MAE: 0.041443705558776855
             Algebraic dist: 7.253888116366621		 Val Algebraic dist: 17.95705380647079
             Algebraic sqr dist: 146.1022560009058	  Val Algebraic sqr dist: 654.1262313179348
             RE1 dist: 73.05113507699275		 Val RE1 dist: 327.0631156589674
             SED dist: 1.5573560189509736		 Val SED dist: 6.684296317722486


Epoch 1764/2500: Training Loss: 0.16715467148932858		 Val Loss: 0.7185858021611753
             Training MAE: 0.05218946933746338		 Val MAE: 0.041623372584581375
             Algebraic dist: 7.259372877038044		 Val Algebraic dist: 18.454892365828805
             Algebraic sqr dist: 145.7005774456522	  Val Algebraic sqr dist: 649.5683169157609
             RE1 dist: 72.8502887228261		 Val RE1 dist: 324.7841796875
             SED dist: 1.5847766157509624		 Val SED dist: 7.132557744565218


Epoch 1765/2500: Training Loss: 0.17363627060599948		 Val Loss: 0.7666342362113621
             Training MAE: 0.05209096521139145		 Val MAE: 0.03935260698199272
             Algebraic dist: 7.431693699048913		 Val Algebraic dist: 18.46996539572011
             Algebraic sqr dist: 152.13039232336956	  Val Algebraic sqr dist: 651.8668902853261
             RE1 dist: 76.06519616168478		 Val RE1 dist: 325.9334663722826
             SED dist: 1.6508509318033855		 Val SED dist: 7.619795426078465


Epoch 1766/2500: Training Loss: 0.1733149376468382		 Val Loss: 0.760046502818232
             Training MAE: 0.05257492884993553		 Val MAE: 0.04158764332532883
             Algebraic dist: 7.563243036684782		 Val Algebraic dist: 19.46456113068954
             Algebraic sqr dist: 156.79513417119566	  Val Algebraic sqr dist: 686.4588569972826
             RE1 dist: 78.39756708559783		 Val RE1 dist: 343.2294284986413
             SED dist: 1.6452382405598958		 Val SED dist: 7.548004150390625


Epoch 1767/2500: Training Loss: 0.1736094847969387		 Val Loss: 0.6583923256915548
             Training MAE: 0.05303432047367096		 Val MAE: 0.04131580516695976
             Algebraic dist: 7.65247997339221		 Val Algebraic dist: 18.31601748259171
             Algebraic sqr dist: 155.55502717391303	  Val Algebraic sqr dist: 703.1084408967391
             RE1 dist: 77.77751358695652		 Val RE1 dist: 351.55422044836956
             SED dist: 1.6474533081054688		 Val SED dist: 6.531865658967392


Epoch 1768/2500: Training Loss: 0.17429881164993066		 Val Loss: 0.6394657052081564
             Training MAE: 0.052937112748622894		 Val MAE: 0.043757304549217224
             Algebraic dist: 7.546920997509058		 Val Algebraic dist: 17.38333793308424
             Algebraic sqr dist: 157.19372735507247	  Val Algebraic sqr dist: 627.6016049592391
             RE1 dist: 78.59686367753623		 Val RE1 dist: 313.8008237092391
             SED dist: 1.655996460845505		 Val SED dist: 6.338020656419837


Epoch 1769/2500: Training Loss: 0.1748118607894234		 Val Loss: 0.6688532621964164
             Training MAE: 0.05304864048957825		 Val MAE: 0.03901267796754837
             Algebraic dist: 7.481008336163949		 Val Algebraic dist: 17.315355383831523
             Algebraic sqr dist: 153.6002887228261	  Val Algebraic sqr dist: 605.9154211956521
             RE1 dist: 76.8001514379529		 Val RE1 dist: 302.95771059782606
             SED dist: 1.6590929998867754		 Val SED dist: 6.642844822095788


Epoch 1770/2500: Training Loss: 0.16644300930741904		 Val Loss: 0.7036445451819379
             Training MAE: 0.05216911807656288		 Val MAE: 0.038706112653017044
             Algebraic dist: 7.251978777456975		 Val Algebraic dist: 18.1472924273947
             Algebraic sqr dist: 145.39165817481884	  Val Algebraic sqr dist: 635.7939877717391
             RE1 dist: 72.69582908740942		 Val RE1 dist: 317.89699388586956
             SED dist: 1.5791823898536572		 Val SED dist: 6.990259585173233


Epoch 1771/2500: Training Loss: 0.18097339851268823		 Val Loss: 0.7616495878800101
             Training MAE: 0.05300750210881233		 Val MAE: 0.039127156138420105
             Algebraic dist: 7.735618701879529		 Val Algebraic dist: 18.639158829398777
             Algebraic sqr dist: 169.47094372735506	  Val Algebraic sqr dist: 798.226222826087
             RE1 dist: 84.73547186367753		 Val RE1 dist: 399.1131114130435
             SED dist: 1.722840792890908		 Val SED dist: 7.56810594641644


Epoch 1772/2500: Training Loss: 0.1817938624948695		 Val Loss: 0.9342788198719854
             Training MAE: 0.0521824024617672		 Val MAE: 0.040380772203207016
             Algebraic dist: 7.741226859714674		 Val Algebraic dist: 22.69752038043478
             Algebraic sqr dist: 169.2555621603261	  Val Algebraic sqr dist: 873.4268851902174
             RE1 dist: 84.62778108016305		 Val RE1 dist: 436.7134425951087
             SED dist: 1.7313638217207314		 Val SED dist: 9.292270162831182


Epoch 1773/2500: Training Loss: 0.18984135337497876		 Val Loss: 0.728763082753057
             Training MAE: 0.0523388534784317		 Val MAE: 0.03935392573475838
             Algebraic dist: 8.10047802026721		 Val Algebraic dist: 18.183024530825406
             Algebraic sqr dist: 171.23860677083334	  Val Algebraic sqr dist: 651.4615319293479
             RE1 dist: 85.61930338541667		 Val RE1 dist: 325.73076596467394
             SED dist: 1.8129837478416553		 Val SED dist: 7.239988244098166


Epoch 1774/2500: Training Loss: 0.17387474447056867		 Val Loss: 0.6863855693651282
             Training MAE: 0.05317315459251404		 Val MAE: 0.040584102272987366
             Algebraic dist: 7.640321593353714		 Val Algebraic dist: 18.42195461107337
             Algebraic sqr dist: 164.79231770833334	  Val Algebraic sqr dist: 690.4652683423913
             RE1 dist: 82.39615885416667		 Val RE1 dist: 345.2326341711956
             SED dist: 1.6493874149046082		 Val SED dist: 6.812943831734035


Epoch 1775/2500: Training Loss: 0.1686746901360111		 Val Loss: 0.7254216567329739
             Training MAE: 0.05312122404575348		 Val MAE: 0.041747160255908966
             Algebraic dist: 7.426211149796195		 Val Algebraic dist: 18.42094885784647
             Algebraic sqr dist: 155.45485167572463	  Val Algebraic sqr dist: 676.7751783288044
             RE1 dist: 77.72742583786231		 Val RE1 dist: 338.3875891644022
             SED dist: 1.5978405717490376		 Val SED dist: 7.20283375615659


Epoch 1776/2500: Training Loss: 0.16622345689414203		 Val Loss: 0.6990773574165676
             Training MAE: 0.05247900262475014		 Val MAE: 0.03855639696121216
             Algebraic dist: 7.326607524484828		 Val Algebraic dist: 18.094950800356656
             Algebraic sqr dist: 150.3452926856884	  Val Algebraic sqr dist: 657.5964673913044
             RE1 dist: 75.1726463428442		 Val RE1 dist: 328.7982336956522
             SED dist: 1.5753404921379641		 Val SED dist: 6.944374416185462


Epoch 1777/2500: Training Loss: 0.1677274289338485		 Val Loss: 0.7168524368949558
             Training MAE: 0.05262837931513786		 Val MAE: 0.03968534991145134
             Algebraic dist: 7.319700821586277		 Val Algebraic dist: 17.943047564962637
             Algebraic sqr dist: 148.46460314764494	  Val Algebraic sqr dist: 632.1828719429348
             RE1 dist: 74.23230157382247		 Val RE1 dist: 316.0914784307065
             SED dist: 1.589552174443784		 Val SED dist: 7.121742580247962


Epoch 1778/2500: Training Loss: 0.17809522324714108		 Val Loss: 0.6892140844593877
             Training MAE: 0.052461668848991394		 Val MAE: 0.040015242993831635
             Algebraic dist: 7.625795226166214		 Val Algebraic dist: 17.89225570015285
             Algebraic sqr dist: 158.2291949728261	  Val Algebraic sqr dist: 706.1778192934783
             RE1 dist: 79.11459748641305		 Val RE1 dist: 353.0889096467391
             SED dist: 1.6958952088286912		 Val SED dist: 6.844709976859715


Epoch 1779/2500: Training Loss: 0.17096191903819208		 Val Loss: 0.7313550866168478
             Training MAE: 0.05254277586936951		 Val MAE: 0.0440799854695797
             Algebraic dist: 7.3887156610903535		 Val Algebraic dist: 19.25019372027853
             Algebraic sqr dist: 151.6669638813406	  Val Algebraic sqr dist: 909.6390964673913
             RE1 dist: 75.83348901721014		 Val RE1 dist: 454.8195906929348
             SED dist: 1.6217996348505435		 Val SED dist: 7.257653277853261


Epoch 1780/2500: Training Loss: 0.17010359833205957		 Val Loss: 0.6918859067170516
             Training MAE: 0.052955057471990585		 Val MAE: 0.04005991294980049
             Algebraic dist: 7.386479916779892		 Val Algebraic dist: 18.358983578889266
             Algebraic sqr dist: 152.07581804800725	  Val Algebraic sqr dist: 668.1049592391304
             RE1 dist: 76.03790902400362		 Val RE1 dist: 334.0524796195652
             SED dist: 1.61167321688887		 Val SED dist: 6.869066984757133


Epoch 1781/2500: Training Loss: 0.16980896825375763		 Val Loss: 0.6825350056523862
             Training MAE: 0.05273013561964035		 Val MAE: 0.040754787623882294
             Algebraic dist: 7.422073143115942		 Val Algebraic dist: 17.455997632897418
             Algebraic sqr dist: 153.33363054800725	  Val Algebraic sqr dist: 685.8796280570652
             RE1 dist: 76.66681527400362		 Val RE1 dist: 342.9398140285326
             SED dist: 1.6108509008435234		 Val SED dist: 6.774975983992867


Epoch 1782/2500: Training Loss: 0.17296469038811282		 Val Loss: 0.7300102399743121
             Training MAE: 0.052784547209739685		 Val MAE: 0.039779774844646454
             Algebraic dist: 7.477696515511775		 Val Algebraic dist: 18.421000605044156
             Algebraic sqr dist: 152.60974298007247	  Val Algebraic sqr dist: 676.7517832880435
             RE1 dist: 76.3048785665761		 Val RE1 dist: 338.37589164402175
             SED dist: 1.6411854840707087		 Val SED dist: 7.2523651123046875


Epoch 1783/2500: Training Loss: 0.17236369589100714		 Val Loss: 0.6867311726445737
             Training MAE: 0.052888236939907074		 Val MAE: 0.042280323803424835
             Algebraic dist: 7.48997608129529		 Val Algebraic dist: 17.89791074006454
             Algebraic sqr dist: 152.75660948822463	  Val Algebraic sqr dist: 690.6469514266304
             RE1 dist: 76.37830474411231		 Val RE1 dist: 345.3234969429348
             SED dist: 1.6352385368900022		 Val SED dist: 6.8144053583559785


Epoch 1784/2500: Training Loss: 0.16601240462151126		 Val Loss: 0.696441069893215
             Training MAE: 0.05339883267879486		 Val MAE: 0.040675658732652664
             Algebraic dist: 7.3818350529325185		 Val Algebraic dist: 18.600593898607336
             Algebraic sqr dist: 152.0658542798913	  Val Algebraic sqr dist: 672.3845957880435
             RE1 dist: 76.03292713994566		 Val RE1 dist: 336.19229789402175
             SED dist: 1.568316252335258		 Val SED dist: 6.911849312160326


Epoch 1785/2500: Training Loss: 0.16777341262153958		 Val Loss: 0.6673644521962041
             Training MAE: 0.05309026688337326		 Val MAE: 0.04116007313132286
             Algebraic dist: 7.470771236696105		 Val Algebraic dist: 18.457137398097824
             Algebraic sqr dist: 150.171875	  Val Algebraic sqr dist: 667.9616593070652
             RE1 dist: 75.08594457653986		 Val RE1 dist: 333.9808296535326
             SED dist: 1.5884609498839448		 Val SED dist: 6.621101711107337


Epoch 1786/2500: Training Loss: 0.16905607693437216		 Val Loss: 0.7037909134574558
             Training MAE: 0.05257635563611984		 Val MAE: 0.042119499295949936
             Algebraic dist: 7.446365135303442		 Val Algebraic dist: 17.79080996306046
             Algebraic sqr dist: 151.2437301856884	  Val Algebraic sqr dist: 644.5277258831521
             RE1 dist: 75.6218650928442		 Val RE1 dist: 322.26386294157606
